"CNTSTUID","ST097Q01TA","ST218Q03HA","ST218Q02HA","ST218Q06HA","ST218Q04HA","ST206Q04HA","ST206Q02HA","ST153Q03HA","ST176Q06IA","ST206Q01HA","ST176Q06IA_scaled","ST153Q03HA_scaled","Communication_Score","Collaboration_Score"
802571,4,3,3,3,3,3,2,2,2,2,1.75,1,3.2,1.95
802603,3,3,3,3,3,3,3,1,3,3,2.5,4,3,3.1
802761,4,3,4,3,3,4,3,1,3,3,2.5,4,3.4,3.3
802835,4,4,3,3,3,3,3,2,4,3,3.25,1,3.4,2.65
802922,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
802998,3,4,3,4,4,3,3,2,5,3,4,1,3.6,2.8
803018,4,3,3,NA,3,3,3,1,5,3,4,4,3.25,3.4
803078,3,4,3,3,3,4,4,1,5,4,4,4,3.2,4
803243,3,2,2,3,NA,2,2,1,3,2,2.5,4,2.5,2.5
803432,4,4,3,NA,3,3,3,1,3,3,2.5,4,3.5,3.1
803610,4,3,3,4,4,3,3,1,4,3,3.25,4,3.6,3.25
803862,4,3,3,4,4,2,3,2,2,4,1.75,1,3.6,2.35
803917,3,3,3,3,3,3,3,2,3,3,2.5,1,3,2.5
804120,2,3,3,3,3,2,2,1,5,2,4,4,2.8,2.8
804384,4,3,3,3,2,2,2,1,3,4,2.5,4,3,2.9
804991,3,3,3,3,3,2,2,1,3,3,2.5,4,3,2.7
805192,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
805276,3,4,4,4,4,4,4,1,5,4,4,4,3.8,4
805493,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
805565,4,4,3,3,3,2,3,2,3,2,2.5,1,3.4,2.1
805580,4,3,3,3,3,2,3,2,2,2,1.75,1,3.2,1.95
805741,4,4,4,4,4,4,4,1,3,3,2.5,4,4,3.5
806532,3,3,3,4,4,3,3,2,5,3,4,1,3.4,2.8
806662,4,4,4,3,3,4,4,1,4,4,3.25,4,3.6,3.85
806851,3,3,3,2,2,2,2,2,5,2,4,1,2.6,2.2
801204,1,3,3,3,3,3,3,2,3,2,2.5,1,2.6,2.3
801672,3,NA,NA,NA,NA,4,3,1,NA,4,NA,4,3,3.75
801799,4,1,4,4,4,NA,NA,1,4,NA,3.25,4,3.4,3.625
801820,1,NA,NA,NA,NA,NA,NA,2,5,NA,4,1,1,2.5
802749,4,2,3,3,3,2,2,1,1,2,1,4,3,2.2
804170,1,3,3,3,3,3,3,2,3,3,2.5,1,2.6,2.5
805205,4,4,4,4,4,4,4,1,3,4,2.5,4,4,3.7
800141,4,4,4,3,3,3,3,1,4,3,3.25,4,3.6,3.25
800230,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
800831,1,3,3,1,4,4,2,2,4,1,3.25,1,2.4,2.25
800932,3,4,3,4,3,4,4,1,5,4,4,4,3.4,4
800990,4,4,4,4,4,4,4,1,3,4,2.5,4,4,3.7
801289,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
802864,4,4,3,4,4,4,3,1,3,3,2.5,4,3.8,3.3
803127,2,3,3,4,4,4,3,2,1,3,1,1,3.2,2.4
803868,3,4,2,4,4,3,4,2,4,4,3.25,1,3.4,3.05
804758,4,3,3,3,3,3,3,2,2,3,1.75,1,3.2,2.35
805508,4,1,4,2,4,4,2,2,3,3,2.5,1,3,2.5
800597,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
801451,3,3,2,3,3,1,2,2,4,1,3.25,1,2.8,1.65
803562,3,4,3,4,4,4,4,1,4,4,3.25,4,3.6,3.85
803924,4,1,1,1,1,2,2,1,3,2,2.5,4,1.6,2.5
805526,4,3,3,2,3,3,3,2,3,3,2.5,1,3,2.5
805582,4,3,3,3,3,3,3,2,2,3,1.75,1,3.2,2.35
806867,3,4,3,4,3,2,3,2,2,4,1.75,1,3.4,2.35
800178,3,3,3,3,3,3,3,2,4,3,3.25,1,3,2.65
800430,3,3,3,4,3,3,3,2,4,3,3.25,1,3.2,2.65
800725,4,4,4,4,4,3,3,1,5,3,4,4,4,3.4
801045,4,4,4,4,4,4,4,2,3,4,2.5,1,4,3.1
801171,4,1,1,1,1,2,2,1,4,2,3.25,4,1.6,2.65
801322,4,4,4,4,4,3,3,2,5,3,4,1,4,2.8
802381,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
802757,4,4,3,3,4,4,4,1,5,3,4,4,3.6,3.8
802821,3,3,3,3,3,3,3,1,1,3,1,4,3,2.8
804140,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
804449,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
805270,4,3,3,3,4,4,4,1,2,4,1.75,4,3.4,3.55
805688,2,3,3,3,3,3,3,1,4,3,3.25,4,2.8,3.25
806189,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
806545,4,4,4,4,4,3,3,1,4,3,3.25,4,4,3.25
806774,NA,3,3,4,3,3,4,1,4,3,3.25,4,3.25,3.45
800300,2,3,3,3,3,3,3,1,4,3,3.25,4,2.8,3.25
800486,2,4,4,4,4,4,4,1,5,4,4,4,3.6,4
800530,3,4,3,3,4,3,3,1,3,3,2.5,4,3.4,3.1
800613,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
800901,3,3,3,4,4,4,3,1,3,3,2.5,4,3.4,3.3
801178,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
801182,3,3,3,3,3,2,3,1,3,3,2.5,4,3,2.9
801272,1,3,2,3,3,4,1,1,3,2,2.5,4,2.4,2.7
801556,4,3,4,4,4,3,4,1,4,4,3.25,4,3.8,3.65
801833,4,3,2,2,1,3,3,1,4,3,3.25,4,2.4,3.25
801867,3,3,3,3,4,2,2,1,4,2,3.25,4,3.2,2.65
801937,3,3,3,3,3,3,2,1,5,2,4,4,3,3
802314,2,3,4,3,3,4,4,1,2,4,1.75,4,3,3.55
802317,4,4,3,3,4,4,4,1,2,4,1.75,4,3.6,3.55
802990,2,3,3,4,4,3,3,1,3,2,2.5,4,3.2,2.9
803309,3,3,3,4,3,3,3,1,5,3,4,4,3.2,3.4
803333,3,4,4,4,4,4,4,1,3,4,2.5,4,3.8,3.7
803732,4,4,NA,4,4,4,4,1,2,4,1.75,4,4,3.55
804023,3,4,3,3,4,3,3,1,4,3,3.25,4,3.4,3.25
804082,3,4,NA,4,4,4,4,1,2,4,1.75,4,3.75,3.55
804648,3,4,3,3,3,3,2,2,5,3,4,1,3.2,2.6
804655,4,2,1,4,3,3,3,1,1,3,1,4,2.8,2.8
804753,4,3,2,2,2,3,3,1,2,3,1.75,4,2.6,2.95
804838,3,3,3,3,3,2,3,2,2,3,1.75,1,3,2.15
804934,4,4,4,4,4,4,4,1,2,4,1.75,4,4,3.55
805023,4,4,3,4,4,4,4,1,2,4,1.75,4,3.8,3.55
805068,3,3,3,4,2,3,3,2,2,3,1.75,1,3,2.35
805164,4,4,3,3,3,4,3,1,2,2,1.75,4,3.4,2.95
805187,3,3,3,3,3,3,3,1,1,3,1,4,3,2.8
805431,2,3,3,4,3,3,3,1,2,3,1.75,4,3,2.95
805522,3,3,3,4,3,3,3,1,3,3,2.5,4,3.2,3.1
805732,3,3,3,3,3,3,2,1,3,1,2.5,4,3,2.5
805734,3,3,3,3,3,3,3,2,3,3,2.5,1,3,2.5
805939,3,3,3,3,3,1,1,1,4,1,3.25,4,3,2.05
806081,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
806104,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
806240,4,4,4,4,4,4,4,1,2,4,1.75,4,4,3.55
806568,3,4,3,3,3,3,2,1,3,3,2.5,4,3.2,2.9
800623,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
800754,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
800965,4,4,4,4,4,4,4,1,5,4,4,4,4,4
801850,4,4,4,4,4,3,3,1,3,3,2.5,4,4,3.1
803703,4,4,4,4,4,3,3,1,5,3,4,4,4,3.4
806035,4,4,4,4,4,4,4,1,4,4,3.25,4,4,3.85
801055,4,3,3,4,3,3,3,1,5,4,4,4,3.4,3.6
800218,1,4,4,3,4,4,3,1,4,3,3.25,4,3.2,3.45
801114,4,4,4,4,4,1,1,1,1,1,1,4,4,1.6
801151,3,3,3,2,4,2,2,2,2,2,1.75,1,3,1.75
801157,4,3,4,3,3,4,3,1,3,3,2.5,4,3.4,3.3
801273,3,3,3,3,3,3,3,1,4,3,3.25,4,3,3.25
801275,4,4,4,4,4,4,4,1,4,4,3.25,4,4,3.85
801615,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
801713,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
802568,4,4,4,4,3,4,4,1,2,4,1.75,4,3.8,3.55
802579,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
802591,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
802728,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
803095,4,3,3,4,4,3,4,1,4,3,3.25,4,3.6,3.45
803830,3,4,3,3,4,4,4,1,2,4,1.75,4,3.4,3.55
805086,4,4,3,4,4,4,4,1,3,3,2.5,4,3.8,3.5
805677,3,3,3,3,3,3,3,1,5,3,4,4,3,3.4
805748,4,4,4,3,3,3,3,1,5,3,4,4,3.6,3.4
806106,3,4,3,4,4,3,2,1,2,3,1.75,4,3.6,2.75
806296,4,3,3,4,3,4,3,2,2,4,1.75,1,3.4,2.75
806458,3,3,3,2,3,3,3,1,4,3,3.25,4,2.8,3.25
806573,4,3,3,3,2,3,3,1,3,3,2.5,4,3,3.1
801039,4,3,3,4,2,3,3,1,1,3,1,4,3.2,2.8
801249,4,3,3,3,3,2,3,1,4,3,3.25,4,3.2,3.05
801269,3,4,4,4,4,3,3,1,2,3,1.75,4,3.8,2.95
801281,3,4,3,3,3,3,3,1,2,2,1.75,4,3.2,2.75
802553,1,2,4,2,NA,4,4,1,5,1,4,4,2.25,3.4
802758,3,3,4,3,4,3,4,1,3,3,2.5,4,3.4,3.3
802807,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
803458,3,4,3,4,3,3,3,1,2,3,1.75,4,3.4,2.95
803612,1,4,NA,4,4,NA,NA,NA,NA,2,NA,NA,3.25,2
803616,4,4,4,4,4,4,4,NA,5,4,4,NA,4,4
803942,3,4,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
803976,3,NA,NA,NA,NA,NA,NA,1,4,NA,3.25,4,3,3.625
803984,4,4,4,4,4,3,4,1,3,4,2.5,4,4,3.5
804116,1,3,2,NA,NA,2,2,1,1,2,1,4,2,2.2
804138,4,4,4,4,4,4,3,1,5,3,4,4,4,3.6
804329,4,4,2,1,2,4,3,1,1,4,1,4,2.6,3.2
804736,3,3,NA,NA,NA,NA,NA,2,2,NA,1.75,1,3,1.375
804822,3,3,3,3,3,3,3,1,5,3,4,4,3,3.4
804826,3,3,2,1,4,2,2,2,4,3,3.25,1,2.6,2.25
805145,4,3,3,4,3,3,3,1,5,3,4,4,3.4,3.4
805690,3,3,3,3,3,4,4,1,4,4,3.25,4,3,3.85
805988,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
806238,2,3,3,3,3,3,3,1,2,3,1.75,4,2.8,2.95
800557,4,4,3,4,3,4,4,2,4,4,3.25,1,3.6,3.25
800760,4,4,4,4,4,3,4,2,2,4,1.75,1,4,2.75
800943,4,4,4,4,4,4,4,2,1,4,1,1,4,2.8
801500,3,3,3,3,3,3,2,NA,3,2,2.5,NA,3,2.375
801654,4,3,3,3,3,1,4,2,2,4,1.75,1,3.2,2.35
801771,4,2,2,2,2,3,3,1,2,2,1.75,4,2.4,2.75
801814,3,3,4,3,3,3,3,1,2,3,1.75,4,3.2,2.95
801990,4,3,3,3,3,4,4,1,4,4,3.25,4,3.2,3.85
802023,4,3,4,4,4,4,4,1,3,4,2.5,4,3.8,3.7
802647,4,4,3,3,3,4,4,1,5,4,4,4,3.4,4
802750,4,4,4,4,4,4,4,2,1,4,1,1,4,2.8
802759,4,4,4,4,4,4,4,1,4,4,3.25,4,4,3.85
803220,4,4,4,3,3,4,4,1,2,4,1.75,4,3.6,3.55
806049,4,3,3,3,3,4,4,1,5,4,4,4,3.2,4
806128,4,4,4,4,4,4,4,1,5,3,4,4,4,3.8
806428,4,4,4,4,4,4,4,1,4,4,3.25,4,4,3.85
806572,3,3,4,4,3,4,4,1,3,4,2.5,4,3.4,3.7
806675,4,4,4,4,4,4,4,1,5,4,4,4,4,4
800691,2,3,3,3,3,2,3,2,2,3,1.75,1,2.8,2.15
801951,4,4,4,4,4,4,4,1,NA,4,NA,4,4,4
802160,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
802328,3,4,4,4,4,3,4,2,3,3,2.5,1,3.8,2.7
803437,4,3,3,3,3,4,4,1,3,4,2.5,4,3.2,3.7
803605,3,3,3,3,3,3,2,2,5,2,4,1,3,2.4
804003,3,3,4,3,3,3,3,1,5,3,4,4,3.2,3.4
804297,3,2,NA,2,NA,3,3,1,2,2,1.75,4,2.33333333333333,2.75
805901,4,2,2,3,3,NA,1,2,2,1,1.75,1,2.8,1.1875
806329,3,4,3,3,3,3,3,1,5,3,4,4,3.2,3.4
800817,4,3,3,3,3,4,4,1,2,4,1.75,4,3.2,3.55
801308,2,3,3,4,3,4,4,1,4,4,3.25,4,3,3.85
801506,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
801678,4,4,4,4,4,4,4,1,2,4,1.75,4,4,3.55
801804,3,4,3,4,3,4,4,2,4,4,3.25,1,3.4,3.25
801832,3,3,3,3,3,3,3,1,5,3,4,4,3,3.4
801875,4,4,4,3,4,2,3,2,3,3,2.5,1,3.8,2.3
802127,3,3,3,3,4,4,4,1,3,4,2.5,4,3.2,3.7
802129,1,4,3,4,4,3,3,1,2,3,1.75,4,3.2,2.95
803068,3,4,4,4,4,4,4,1,4,4,3.25,4,3.8,3.85
804150,4,4,3,3,3,4,4,1,2,4,1.75,4,3.4,3.55
804436,3,3,3,3,3,4,3,2,3,4,2.5,1,3,2.9
804587,3,3,1,3,3,3,3,1,1,3,1,4,2.6,2.8
805379,3,3,4,3,3,4,3,1,3,3,2.5,4,3.2,3.3
805761,2,3,3,3,3,3,2,2,2,2,1.75,1,2.8,1.95
806494,3,3,3,3,3,3,2,2,3,2,2.5,1,3,2.1
806686,4,3,4,4,3,4,4,1,3,4,2.5,4,3.6,3.7
802180,4,3,3,3,3,4,4,1,4,4,3.25,4,3.2,3.85
802355,4,NA,NA,NA,NA,4,4,2,4,4,3.25,1,4,3.25
803812,4,3,2,3,3,3,3,2,4,3,3.25,1,3,2.65
804703,4,3,2,3,3,3,3,1,4,3,3.25,4,3,3.25
800037,3,3,3,3,3,3,2,2,3,2,2.5,1,3,2.1
800084,3,4,4,2,3,3,3,2,1,3,1,1,3.2,2.2
800255,3,NA,3,NA,2,3,2,2,2,3,1.75,1,2.66666666666667,2.15
800331,3,4,4,4,4,3,3,2,2,3,1.75,1,3.8,2.35
800444,2,4,3,3,3,4,4,2,3,4,2.5,1,3,3.1
800524,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,4,4
800700,3,4,3,3,4,3,3,2,2,3,1.75,1,3.4,2.35
800828,4,3,3,4,4,4,4,1,4,4,3.25,4,3.6,3.85
801096,4,3,3,3,3,4,4,1,4,4,3.25,4,3.2,3.85
801162,4,3,3,3,3,4,4,1,2,4,1.75,4,3.2,3.55
802042,3,3,3,3,3,4,4,2,3,4,2.5,1,3,3.1
802384,3,4,4,4,4,3,3,1,3,3,2.5,4,3.8,3.1
802584,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
802806,1,NA,2,3,4,3,3,2,5,3,4,1,2.5,2.8
802850,4,3,2,3,2,4,4,1,4,3,3.25,4,2.8,3.65
803063,4,3,4,4,2,4,3,1,3,3,2.5,4,3.4,3.3
803705,2,3,4,3,3,2,1,1,3,2,2.5,4,3,2.3
803845,3,4,3,1,2,3,3,2,5,3,4,1,2.6,2.8
804036,3,3,3,3,3,3,3,1,3,3,2.5,4,3,3.1
804105,4,2,2,3,3,3,3,NA,3,3,2.5,NA,2.8,2.875
804428,4,3,3,3,4,3,3,1,2,3,1.75,4,3.4,2.95
804722,4,1,2,2,3,2,1,1,2,1,1.75,4,2.4,1.95
805395,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
805622,1,1,1,1,1,3,3,1,2,2,1.75,4,1,2.75
805632,4,4,3,4,3,4,3,2,5,4,4,1,3.6,3.2
805712,4,3,3,3,3,4,4,1,2,4,1.75,4,3.2,3.55
805909,4,NA,NA,NA,NA,NA,NA,1,5,NA,4,4,4,4
805934,4,3,NA,3,4,3,3,1,1,3,1,4,3.5,2.8
805998,4,4,3,4,3,3,3,1,3,3,2.5,4,3.6,3.1
806111,3,3,3,4,3,3,3,1,2,3,1.75,4,3.2,2.95
806112,4,4,4,4,4,4,4,1,5,4,4,4,4,4
806140,3,4,4,3,3,4,3,2,2,3,1.75,1,3.4,2.55
806217,3,3,4,3,4,4,3,1,5,4,4,4,3.4,3.8
806294,4,4,3,4,3,4,4,1,4,3,3.25,4,3.6,3.65
806302,3,NA,NA,NA,NA,NA,NA,1,3,NA,2.5,4,3,3.25
806672,4,3,3,2,2,3,3,2,2,2,1.75,1,2.8,2.15
800137,4,3,3,4,4,4,3,2,3,3,2.5,1,3.6,2.7
800414,3,4,3,3,4,3,4,1,4,3,3.25,4,3.4,3.45
800853,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
801000,3,3,3,3,3,3,3,1,5,3,4,4,3,3.4
801860,4,3,3,4,4,3,3,1,4,3,3.25,4,3.6,3.25
802212,4,4,3,3,3,2,2,1,2,3,1.75,4,3.4,2.55
802428,4,4,4,4,4,4,4,1,2,4,1.75,4,4,3.55
802548,4,3,4,4,3,3,3,2,2,3,1.75,1,3.6,2.35
802961,4,4,4,3,3,4,4,1,3,4,2.5,4,3.6,3.7
803267,2,4,3,3,3,2,3,1,3,2,2.5,4,3,2.7
803332,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
803338,2,3,4,2,2,3,3,1,4,2,3.25,4,2.6,3.05
803443,4,3,3,4,4,3,4,1,4,3,3.25,4,3.6,3.45
803465,3,2,2,2,2,4,2,2,4,1,3.25,1,2.2,2.25
803606,3,4,4,4,4,4,4,2,2,4,1.75,1,3.8,2.95
803637,3,4,3,3,4,3,3,1,4,3,3.25,4,3.4,3.25
803681,4,3,3,3,3,3,3,2,4,3,3.25,1,3.2,2.65
803879,3,NA,4,4,3,2,2,1,4,2,3.25,4,3.5,2.65
804202,4,4,4,4,4,4,4,1,2,4,1.75,4,4,3.55
804308,3,4,3,4,4,3,4,1,3,4,2.5,4,3.6,3.5
804425,3,4,3,4,3,4,4,1,4,4,3.25,4,3.4,3.85
804694,3,3,3,3,3,2,2,1,3,2,2.5,4,3,2.5
804756,2,4,3,4,4,4,4,1,3,3,2.5,4,3.4,3.5
804787,3,3,3,3,4,4,4,2,1,4,1,1,3.2,2.8
805099,4,3,3,3,3,2,2,2,4,2,3.25,1,3.2,2.05
805191,4,3,4,4,3,2,3,1,3,3,2.5,4,3.6,2.9
805233,3,3,3,3,3,3,3,1,4,3,3.25,4,3,3.25
805300,3,4,3,4,3,3,3,2,2,3,1.75,1,3.4,2.35
805393,3,3,3,4,4,4,3,1,3,4,2.5,4,3.4,3.5
805804,3,4,4,3,3,4,3,1,4,3,3.25,4,3.4,3.45
805817,4,3,3,3,3,3,3,2,3,3,2.5,1,3.2,2.5
805873,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
805967,3,4,3,4,4,3,3,1,2,3,1.75,4,3.6,2.95
805994,4,4,3,4,3,4,3,1,5,3,4,4,3.6,3.6
806017,4,3,3,3,3,3,4,1,2,3,1.75,4,3.2,3.15
806047,4,4,2,4,4,4,4,1,2,4,1.75,4,3.6,3.55
806102,3,3,3,3,3,3,3,2,4,3,3.25,1,3,2.65
806190,3,4,4,4,4,4,3,1,5,3,4,4,3.8,3.6
806375,3,3,3,3,3,3,3,2,5,3,4,1,3,2.8
806446,3,4,3,3,3,3,3,2,2,3,1.75,1,3.2,2.35
806601,4,4,4,4,4,3,4,1,2,3,1.75,4,4,3.15
806849,3,3,2,3,NA,3,3,2,2,3,1.75,1,2.75,2.35
800082,4,3,3,3,3,3,3,1,2,NA,1.75,4,3.2,2.9375
800210,3,3,3,3,4,3,3,1,2,3,1.75,4,3.2,2.95
800737,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
800795,4,4,NA,4,NA,3,4,NA,NA,3,NA,NA,4,3.33333333333333
801111,3,4,3,3,3,3,2,1,2,2,1.75,4,3.2,2.55
801213,4,4,4,4,4,3,3,1,3,3,2.5,4,4,3.1
801800,4,4,2,4,3,2,2,1,NA,1,NA,4,3.4,2.25
801859,4,4,4,4,4,4,4,1,3,4,2.5,4,4,3.7
801885,3,4,3,4,4,3,3,1,2,3,1.75,4,3.6,2.95
801968,4,NA,2,3,3,1,3,2,2,3,1.75,1,3,1.95
801991,3,3,3,3,3,4,3,1,2,3,1.75,4,3,3.15
802085,3,4,3,4,4,4,4,1,2,4,1.75,4,3.6,3.55
802094,2,3,3,3,3,4,4,2,2,4,1.75,1,2.8,2.95
802200,4,4,4,4,4,4,3,1,3,4,2.5,4,4,3.5
